campione_id,n_timestep,theta_iniziale_pct,theta_finale_pct,temp_min_C,temp_max_C,eps_rec_medio_pct,eps_rec_mediano_pct,misure_eps_sotto_5pct,timestep_qc_pass_pct
ML10,101,47.8,15.64,6.2,24.8,7.49,3.44,60.6,37.6
ML1,106,46.58,18.59,23.4,27.5,14.55,3.79,54.1,34.0
ML3,141,46.52,23.9,23.7,28.3,11.38,1.15,78.9,56.0
ML4,113,43.47,18.28,25.2,28.9,5.9,1.21,81.1,57.5
ML5,168,40.24,18.06,21.7,23.0,39.1,14.43,37.2,19.0
ML6,125,46.23,24.76,20.2,21.4,25.16,2.99,57.1,33.6
ML7,114,38.25,14.72,24.7,27.6,0.93,0.58,96.9,100.0
ML8,112,39.5,14.37,25.8,30.2,2.48,0.6,91.7,83.0
ML9,143,42.11,13.35,23.9,28.3,1.13,0.37,95.8,98.6
Sand_R,168,34.41,-0.67,21.5,26.3,0.84,0.22,97.8,93.5
