campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,qualita_qc_pass
ML1,1,2026-05-26 11:00:00,2026-05-26 11:15:02,2026-05-26 11:31:04,2026-05-26 11:23:03.000,16.03,0.13,23.45,479.77,46.58,32.05,1.035,0.26,0.01,0.04,-1.442,Diretto_Entrambi_Tensiometri,16.267,0.37,16.799,0.36,14.172,0.52,17.691,1.1,16.326,0.99,13.759,0.4,16.5,0.06,10.69,14.61,14.494,15.327,12.598,17.788,True
ML1,2,2026-05-26 12:00:00,2026-05-26 12:15:02,2026-05-26 12:31:03,2026-05-26 12:23:02.500,16.02,1.13,24.55,478.56,46.1,31.72,1.024,0.34,0.08,0.17,-0.776,Diretto_Entrambi_Tensiometri,16.325,0.39,16.839,0.1,14.237,0.28,17.694,0.49,16.239,0.45,13.827,0.59,16.697,1.93,9.587,4.46,14.584,15.45,12.684,17.728,True
ML1,3,2026-05-26 13:00:00,2026-05-26 13:15:03,2026-05-26 13:31:06,2026-05-26 13:23:04.500,16.05,2.13,24.92,477.51,45.68,31.43,1.015,0.62,0.35,0.47,-0.329,Diretto_Entrambi_Tensiometri,16.408,0.44,16.834,0.0,14.28,0.24,17.743,0.06,16.372,0.45,13.814,0.61,16.635,1.44,9.421,4.2,14.964,15.335,12.582,17.74,True
ML1,4,2026-05-26 14:00:00,2026-05-26 14:15:02,2026-05-26 14:31:00,2026-05-26 14:23:01.000,15.97,3.13,25.1,476.51,45.27,31.15,1.006,0.61,0.41,0.5,-0.3,Diretto_Entrambi_Tensiometri,16.535,0.68,16.94,0.06,14.381,0.02,17.877,0.33,16.545,0.22,13.97,0.87,16.595,3.19,9.551,4.13,14.977,15.226,12.609,18.089,True
ML1,5,2026-05-26 15:00:00,2026-05-26 15:15:03,2026-05-26 15:31:03,2026-05-26 15:23:03.000,16.0,4.13,25.16,475.5,44.87,30.88,0.997,0.76,0.44,0.58,-0.236,Diretto_Entrambi_Tensiometri,16.731,0.35,17.049,0.05,14.497,0.07,18.017,0.26,16.566,0.67,14.144,0.74,16.727,3.19,9.507,5.31,15.223,15.247,12.63,18.677,True
ML1,6,2026-05-26 16:00:00,2026-05-26 16:15:02,2026-05-26 16:31:06,2026-05-26 16:23:04.000,16.07,5.13,25.26,474.53,44.49,30.61,0.989,0.6,0.31,0.43,-0.367,Diretto_Entrambi_Tensiometri,16.82,0.68,17.251,0.04,14.411,0.07,18.213,0.11,16.67,0.02,14.057,0.49,16.765,2.23,9.441,2.99,15.204,15.204,12.662,18.741,True
ML1,7,2026-05-26 17:00:00,2026-05-26 17:15:02,2026-05-26 17:31:07,2026-05-26 17:23:04.500,16.08,6.13,25.33,473.6,44.11,30.35,0.98,1.02,0.62,0.79,-0.101,Diretto_Entrambi_Tensiometri,17.036,0.61,17.452,0.03,14.383,0.01,18.528,0.02,16.976,0.08,14.001,0.46,16.896,2.96,9.666,5.05,15.247,15.282,12.646,19.143,True
ML1,8,2026-05-26 18:00:00,2026-05-26 18:15:03,2026-05-26 18:31:10,2026-05-26 18:23:06.500,16.12,7.13,25.42,472.66,43.74,30.09,0.972,1.36,0.9,1.11,0.044,Diretto_Entrambi_Tensiometri,17.505,1.07,17.827,0.17,14.392,0.09,18.884,0.17,17.257,0.18,14.05,0.48,17.111,2.93,9.359,2.27,15.709,15.389,12.682,19.45,True
ML1,9,2026-05-26 19:00:00,2026-05-26 19:15:02,2026-05-26 19:31:12,2026-05-26 19:23:07.000,16.17,8.13,25.44,471.7,43.35,29.83,0.963,1.91,1.19,1.5,0.177,Diretto_Entrambi_Tensiometri,17.911,0.77,18.126,0.13,14.475,0.05,19.173,0.11,17.526,0.13,14.142,0.71,16.738,1.97,8.758,10.33,16.27,15.553,12.678,19.861,True
ML1,10,2026-05-26 20:00:00,2026-05-26 20:15:03,2026-05-26 20:31:16,2026-05-26 20:23:09.500,16.22,9.14,25.53,470.85,43.01,29.6,0.956,2.46,1.7,2.05,0.311,Diretto_Entrambi_Tensiometri,18.195,1.0,18.383,0.15,14.516,0.08,19.332,0.08,17.745,0.08,14.23,0.81,16.858,2.0,7.858,1.31,16.467,16.046,12.744,20.226,True
