campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,rho25_geom_upper,rho25_geom_lower,rho25_geom_dipole,rho25_geom_wenner,qualita_qc_pass
ML8,1,2025-07-02 18:00:00,2025-07-02 18:17:05,2025-07-02 18:29:53,2025-07-02 18:23:29.000,12.8,0.11,26.02,456.48,39.5,27.6,0.859,0.05,-0.18,0.0,,Diretto_Entrambi_Tensiometri,46.862,0.18,46.871,0.65,50.1,0.16,46.115,0.79,52.503,0.28,51.171,0.16,45.059,0.58,49.786,0.11,49.67,45.085,53.453,69.51,47.92,49.852,47.364,53.708,True
ML8,2,2025-07-02 19:00:00,2025-07-02 19:17:05,2025-07-02 19:29:54,2025-07-02 19:23:29.500,12.82,1.11,27.09,455.81,39.23,27.41,0.853,0.5,0.25,0.35,-0.45,Diretto_Entrambi_Tensiometri,48.453,0.49,47.315,0.0,50.042,0.12,46.257,1.13,52.422,0.27,51.185,0.41,44.547,0.53,49.248,0.05,49.541,44.701,53.415,69.371,48.591,49.882,46.839,53.522,True
ML8,3,2025-07-02 20:00:00,2025-07-02 20:17:05,2025-07-02 20:29:58,2025-07-02 20:23:31.500,12.88,2.11,27.45,455.27,39.01,27.26,0.848,0.62,0.37,0.48,-0.317,Diretto_Entrambi_Tensiometri,47.938,0.2,47.51,1.03,49.521,0.07,46.128,0.94,52.453,0.06,51.431,0.06,45.191,1.1,48.675,0.13,49.077,44.511,53.493,69.285,48.315,49.925,46.901,53.342,True
ML8,4,2025-07-02 21:00:00,2025-07-02 21:17:05,2025-07-02 21:29:53,2025-07-02 21:23:29.000,12.8,3.11,27.41,454.71,38.79,27.11,0.843,0.81,0.54,0.67,-0.177,Diretto_Entrambi_Tensiometri,47.924,0.11,47.79,0.01,49.755,0.25,46.446,1.95,52.567,0.04,51.386,0.6,45.359,0.56,48.46,0.27,48.95,44.533,53.24,69.057,48.481,50.061,46.884,53.207,True
ML8,5,2025-07-02 22:00:00,2025-07-02 22:17:07,2025-07-02 22:29:55,2025-07-02 22:23:31.000,12.8,4.11,27.42,454.08,38.54,26.93,0.838,0.96,0.7,0.82,-0.085,Diretto_Entrambi_Tensiometri,48.48,0.28,47.932,0.78,50.143,0.24,46.19,0.19,52.719,0.09,51.443,0.73,44.811,0.84,48.488,0.04,49.139,44.551,53.036,68.767,48.843,50.036,46.613,53.157,True
ML8,6,2025-07-02 23:00:00,2025-07-02 23:17:05,2025-07-02 23:29:54,2025-07-02 23:23:29.500,12.82,5.11,27.44,453.46,38.29,26.76,0.832,1.11,0.85,0.97,-0.013,Diretto_Entrambi_Tensiometri,49.04,0.33,48.538,0.74,50.528,0.79,46.569,0.24,53.139,0.05,52.009,0.14,44.906,0.92,48.24,0.59,48.944,44.502,53.094,68.587,49.361,50.489,46.543,53.069,True
ML8,7,2025-07-03 00:00:00,2025-07-03 00:17:06,2025-07-03 00:29:54,2025-07-03 00:23:30.000,12.8,6.11,27.39,452.86,38.05,26.59,0.827,0.9,0.74,0.82,-0.089,Diretto_Entrambi_Tensiometri,49.401,0.16,49.274,0.23,50.557,0.5,47.76,0.68,54.012,0.07,52.529,0.76,44.916,0.95,48.307,0.53,48.919,44.325,52.886,68.367,49.741,51.363,46.581,52.915,True
ML8,8,2025-07-03 01:00:00,2025-07-03 01:17:05,2025-07-03 01:29:40,2025-07-03 01:23:22.500,12.58,7.1,27.35,452.26,37.81,26.42,0.822,1.31,1.02,1.16,0.064,Diretto_Entrambi_Tensiometri,50.022,0.28,50.007,0.05,51.156,0.18,48.519,0.09,54.182,1.51,52.74,0.14,44.952,0.56,48.092,0.15,49.181,44.29,52.838,68.166,50.392,51.757,46.496,52.924,True
ML8,9,2025-07-03 02:00:00,2025-07-03 02:17:05,2025-07-03 02:29:34,2025-07-03 02:23:19.500,12.48,8.1,27.27,451.7,37.58,26.26,0.817,1.53,1.23,1.37,0.136,Diretto_Entrambi_Tensiometri,50.666,0.02,49.81,0.43,51.908,1.12,48.322,3.01,54.512,1.22,53.81,2.45,45.18,0.64,47.395,1.47,47.898,44.574,52.637,68.213,50.787,52.139,46.274,52.619,True
ML8,10,2025-07-03 03:00:00,2025-07-03 03:17:05,2025-07-03 03:29:37,2025-07-03 03:23:21.000,12.53,9.1,27.17,451.09,37.34,26.1,0.812,1.73,1.42,1.57,0.195,Diretto_Entrambi_Tensiometri,51.306,0.18,50.786,0.15,52.308,0.7,49.356,0.15,55.953,3.13,53.49,0.18,46.278,0.08,47.037,0.76,47.246,44.461,52.529,68.182,51.463,52.862,46.656,52.372,True
