campione_id,time_step_id,datetime_nominale,datetime_inizio_ert,datetime_fine_ert,datetime_baricentro_ert,durata_misura_ert_min,ore_trascorse_da_t0,temperatura_C,peso_netto_g,theta_vol_pct,contenuto_acqua_grav_pct,grado_saturazione_Sr,suzione_top_estesa_kpa,suzione_bottom_estesa_kpa,suzione_media_kpa,log10_suzione_kpa,regime_suzione,rho25_qp1,eps_qp1,rho25_qp2,eps_qp2,rho25_qp3,eps_qp3,rho25_qp4,eps_qp4,rho25_qp5,eps_qp5,rho25_qp6,eps_qp6,rho25_qp7,eps_qp7,rho25_qp8,eps_qp8,rho25_W1,rho25_W2,rho25_W3,rho25_W4,rho25_geom_upper,rho25_geom_lower,rho25_geom_dipole,rho25_geom_wenner,qualita_qc_pass
Sand_R,1,2026-06-09 15:00:00,2026-06-09 15:10:05,2026-06-09 15:18:57,2026-06-09 15:14:31.000,8.87,0.07,22.58,427.12,34.41,25.22,0.717,0.27,0.04,0.1,-0.989,Diretto_Entrambi_Tensiometri,67.653,0.2,63.901,0.57,65.901,0.04,61.049,0.1,65.254,0.08,61.432,0.09,95.405,,91.027,,71.569,72.64,69.905,75.659,65.8,62.55,93.19,72.413,True
Sand_R,2,2026-06-09 16:00:00,2026-06-09 16:10:05,2026-06-09 16:18:54,2026-06-09 16:14:29.500,8.82,1.07,23.09,425.98,33.95,24.88,0.707,0.39,0.15,0.24,-0.621,Diretto_Entrambi_Tensiometri,66.654,0.56,63.807,0.57,66.366,1.01,60.835,0.2,64.706,0.45,60.838,0.39,94.481,,90.478,,70.413,69.327,69.23,77.029,65.596,62.1,92.458,71.429,True
Sand_R,3,2026-06-09 17:00:00,2026-06-09 17:10:05,2026-06-09 17:18:52,2026-06-09 17:14:28.500,8.78,2.07,23.22,424.82,33.49,24.54,0.698,0.53,0.29,0.39,-0.406,Diretto_Entrambi_Tensiometri,65.564,0.16,62.949,0.32,64.819,0.35,60.425,0.42,63.553,0.19,60.872,0.13,93.343,,87.059,,69.578,68.614,69.439,72.627,64.435,61.601,90.146,70.048,True
Sand_R,4,2026-06-09 18:00:00,2026-06-09 18:10:05,2026-06-09 18:18:35,2026-06-09 18:14:20.000,8.5,3.07,23.06,423.85,33.1,24.26,0.69,1.17,0.92,1.04,0.015,Diretto_Entrambi_Tensiometri,61.281,0.15,62.532,0.52,63.03,0.28,60.107,0.01,63.238,0.63,60.576,0.07,92.04,,84.582,,68.75,68.518,70.251,70.473,62.277,61.292,88.232,69.493,True
Sand_R,5,2026-06-09 19:00:00,2026-06-09 19:10:05,2026-06-09 19:18:34,2026-06-09 19:14:19.500,8.48,4.07,23.25,423.04,32.77,24.02,0.683,2.27,2.02,2.14,0.331,Diretto_Entrambi_Tensiometri,60.622,0.73,61.042,0.63,62.024,0.28,60.36,0.31,63.279,0.24,60.46,0.54,94.457,,82.079,,68.171,67.089,68.472,62.385,61.227,61.352,88.051,66.483,True
Sand_R,6,2026-06-09 20:00:00,2026-06-09 20:10:05,2026-06-09 20:18:34,2026-06-09 20:14:19.500,8.48,5.07,23.31,422.29,32.48,23.8,0.677,2.99,2.74,2.86,0.456,Diretto_Entrambi_Tensiometri,60.306,0.41,60.334,0.53,62.849,0.73,60.197,0.33,63.846,0.1,60.596,0.55,92.692,,79.857,,67.92,66.107,68.351,62.311,61.151,61.525,86.035,66.129,True
Sand_R,7,2026-06-09 21:00:00,2026-06-09 21:10:05,2026-06-09 21:18:35,2026-06-09 21:14:20.000,8.5,6.07,23.23,421.52,32.17,23.58,0.67,2.98,2.73,2.85,0.455,Diretto_Entrambi_Tensiometri,60.455,0.49,60.033,0.37,62.786,0.43,59.498,0.38,63.004,0.36,60.851,0.44,91.078,,76.201,,69.65,66.818,69.619,63.072,61.079,61.101,83.308,67.235,True
Sand_R,8,2026-06-09 22:00:00,2026-06-09 22:10:05,2026-06-09 22:18:53,2026-06-09 22:14:29.000,8.8,7.07,23.09,420.81,31.88,23.37,0.664,3.12,2.87,2.99,0.475,Diretto_Entrambi_Tensiometri,60.134,0.05,58.705,0.02,63.655,0.42,58.193,0.21,62.956,0.66,62.028,0.67,90.964,,77.789,,68.165,68.016,70.466,63.363,60.796,61.024,84.119,67.452,True
Sand_R,9,2026-06-09 23:00:00,2026-06-09 23:10:05,2026-06-09 23:18:52,2026-06-09 23:14:28.500,8.78,8.07,22.9,420.08,31.59,23.15,0.658,3.2,2.95,3.07,0.487,Diretto_Entrambi_Tensiometri,60.722,0.16,58.36,0.48,63.941,0.77,57.757,0.21,63.282,0.44,61.93,0.5,93.226,,80.422,,67.895,69.528,70.793,63.674,60.965,60.944,86.588,67.918,True
Sand_R,10,2026-06-10 00:00:00,2026-06-10 00:10:05,2026-06-10 00:18:48,2026-06-10 00:14:26.500,8.72,9.07,22.67,419.38,31.31,22.95,0.652,3.25,3.0,3.13,0.495,Diretto_Entrambi_Tensiometri,61.599,0.3,58.568,0.57,63.916,0.34,57.868,0.3,63.417,0.31,62.407,0.51,95.506,,89.115,,68.771,72.039,71.389,65.049,61.322,61.182,92.255,69.257,True
