fid,distance,quota_z
1,0,629
2,1,628
3,2,628
4,3,628
5,4,628
6,5,627
7,6,627
8,7,627
9,8,627
10,9,627
11,10,627
12,11,627
13,12,627
14,13,627
15,14,627
16,15,627
17,16,627
18,17,627
19,18,627
20,19,626
21,20,626
22,21,626
23,22,626
24,23,626
25,24,626
26,25,626
27,26,626
28,27,626
29,28,626
30,29,626
31,30,626
32,31,626
33,32,626
34,33,626
35,34,626
36,35,625
37,36,625
38,37,625
39,38,625
40,39,625
41,40,625
42,41,625
43,42,625
44,43,625
45,44,625
46,45,625
47,46,625
48,47,625
49,48,625
50,49,625
51,50,625
52,51,625
53,52,625
54,53,625
55,54,625
56,55,624
57,56,624
58,57,624
59,58,624
60,59,624
61,60,624
62,61,624
63,62,624
64,63,624
65,64,624
66,65,623
67,66,623
68,67,623
69,68,623
70,69,623
71,70,623
72,71,623
73,72,623
74,73,623
75,74,623
76,75,622
77,76,622
78,77,622
79,78,622
80,79,622
81,80,622
82,81,622
83,82,621
84,83,621
85,84,621
86,85,621
87,86,620
88,87,620
89,88,620
90,89,620
91,90,619
92,91,619
93,92,619
94,93,619
95,94,618
96,95,618
97,96,618
98,97,618
99,98,617
100,99,617
101,100,617
102,101,617
103,102,616
104,103,616
105,104,616
106,105,616
107,106,615
108,107,615
109,108,615
110,109,615
111,110,614
112,111,614
113,112,614
114,113,614
115,114,614
116,115,614
117,116,614
118,117,614
119,118,613
120,119,613
121,120,614
122,121,614
123,122,614
124,123,613
125,124,613
126,125,613
127,126,613
128,127,613
129,128,613
130,129,613
131,130,613
132,131,612
133,132,612
134,133,612
135,134,612
136,135,612
137,136,612
138,137,611
139,138,611
140,139,611
141,140,611
142,141,610
143,142,610
144,143,610
145,144,610
146,145,609
147,146,609
148,147,609
149,148,609
150,149,608
151,150,608
152,151,608
153,152,608
154,153,608
155,154,608
156,155,607
157,156,607
158,157,607
159,158,607
160,159,607
161,160,607
162,161,607
163,162,607
164,163,606
165,164,606
166,165,606
167,166,606
168,167,606
169,168,606
170,169,606
171,170,606
172,171,606
173,172,606
174,173,606
175,174,605
176,175,605
177,176,605
178,177,605
179,178,604
180,179,604
181,180,604
182,181,604
183,182,604
184,183,604
185,184,603
186,185,603
187,186,603
188,187,603
189,188,603
190,189,603
191,190,603
192,191,602
193,192,602
194,193,602
195,194,602
196,195,602
197,196,601
198,197,601
199,198,601
200,199,601
201,200,601
202,201,601
203,202,600
204,203,600
205,204,600
206,205,600
207,206,600
208,207,600
209,208,600
210,209,599
211,210,599
212,211,599
213,212,599
214,213,599
215,214,599
216,215,599
217,216,598
218,217,598
219,218,597
220,219,597
221,220,597
222,221,596
223,222,596
224,223,596
225,224,596
226,225,596
227,226,595
228,227,595
229,228,595
230,229,595
231,230,595
232,231,594
233,232,594
234,233,594
235,234,594
236,235,594
237,236,594
238,237,594
239,238,594
240,239,594
241,240,593
242,241,593
243,242,593
244,243,593
245,244,593
246,245,593
247,246,593
248,247,593
249,248,593
250,249,593
251,250,593
252,251,593
253,252,593
254,253,593
255,254,593
256,255,593
257,256,593
258,257,593
259,258,593
260,259,593
261,260,593
262,261,592
263,262,592
264,263,592
265,264,592
266,265,592
267,266,592
268,267,592
269,268,592
270,269,592
271,270,591
272,271,591
273,272,591
274,273,591
275,274,591
276,275,591
277,276,591
278,277,591
279,278,591
280,279,590
281,280,590
282,281,590
283,282,590
284,283,590
285,284,590
286,285,590
287,286,589
288,287,589
289,288,589
290,289,589
291,290,589
292,291,589
293,292,589
294,293,589
295,294,588
296,295,588
297,296,588
298,297,588
299,298,587
300,299,587
301,300,587
302,301,587
303,302,586
304,303,586
305,304,586
306,305,586
307,306,586
308,307,586
309,308,586
310,309,585
311,310,585
312,311,585
313,312,585
314,313,584
315,314,584
316,315,584
317,316,584
318,317,583
319,318,583
320,319,583
321,320,583
322,321,583
323,322,583
324,323,582
325,324,582
326,325,582
327,326,581
